Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
AAOI,Common Stock,Applied Optoelectronics Inc,Applied Optoelectronics Inc. designs manufactures and sells various fiber optic networking products globally. The company is headquartered in Sugar Land Texas.,1158114,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,13115 JESS PIRTLE BLVD SUGAR LAND TX US,December,2021-09-30,128026000,-20207000,None,0.51,9.71,None,0,-2.041,8.06,-0.253,-0.269,-0.0733,-0.201,209482000,50541000,-2.041,0,-0.305,15.36,-,84.03,0.611,0.598,1.281,-,1.685,13.95,4.63,5.93,7.25,27297600,None,None
AAON,Common Stock,AAON Inc,AAON Inc. engages in the engineering manufacturing marketing and sales of heating and air conditioning equipment in the United States and Canada. The company is headquartered in Tulsa Oklahoma.,824142,NASDAQ,USD,USA,TECHNOLOGY,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,2425 SOUTH YUKON TULSA OK US,December,2021-09-30,3882818000,112837000,55.68,2.87,7.64,0.38,0.0051,1.33,9.84,0.139,0.162,0.109,0.192,514935000,155849000,1.33,-0.237,0.028,71,55.68,-,7.54,10.5,7.97,36.45,0.56,83.79,59.08,77.41,68.98,52428000,2021-12-17,2021-11-24
AAP,Common Stock,Advance Auto Parts Inc,Advance Auto Parts Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh North Carolina it serves both professional installer and do-it-yourself (DIY) customers.,1158449,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,2635 EAST MILLBROOK ROAD RALEIGH NC US,December,2021-09-30,14846150000,1199138000,24.25,1.135,51.66,2.5,0.0168,9.82,167.83,0.059,0.0864,0.0497,0.186,10966145000,4484775000,9.82,0.258,0.031,254.69,24.25,18.98,1.354,4.683,1.601,15.45,1.272,244.55,140.95,232.95,211.22,62355000,2022-01-03,2021-12-16
AAPL,Common Stock,Apple Inc,Apple Inc. is an American multinational technology company that specializes in consumer electronics computer software and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and since January 2021 the world's most valuable company. As of 2021 Apple is the world's fourth-largest PC vendor by unit sales and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies along with Amazon Google Microsoft and Facebook.,320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,ONE INFINITE LOOP CUPERTINO CA US,September,2021-09-30,2824689943000,120233001000,30.69,3.852,3.841,0.85,0.0051,5.61,21.9,0.259,0.298,0.202,1.474,365817004000,152836000000,5.61,0.662,0.288,174.93,30.69,32.05,7.72,46.67,8.22,24.41,1.203,182.94,115.67,164.81,145.32,16406400000,2021-11-11,2021-11-05
AAQC,Common Stock,Accelerate Acquisition Corp,Accelerate Acquisition Corp. The company is headquartered in Short Hills New Jersey.,1838883,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,51 JOHN F. KENNEDY PARKWAY SHORT HILLS NJ UNITED STATES,December,2021-09-30,486000000,None,None,None,0.1,None,None,None,0,0,0,0,-99999.99,0,0,0,0,0,None,-,-,-,-,-,-,None,9.96,9.6,9.74,9.71,40000000,None,None
AAT,Common Stock,American Assets Trust Inc,American Assets Trust Inc. is a self-managed vertically integrated full-service real estate investment trust or REIT based in San Diego California. ,1500217,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,11455 EL CAMINO REAL SUITE 200 SAN DIEGO CA US,December,2021-09-30,2333618000,200287000,99.97,21.85,20.59,1.11,0.0311,0.386,5.88,0.0656,0.257,0.0192,0.0241,352917000,225477000,0.386,0.99,0.163,39.3,99.97,-,6.61,1.737,10.32,18.3,1.242,40.49,26.38,37.17,37.01,60472000,2021-12-23,2021-12-08
AATC,Common Stock,Image Sensing Systems Inc,None,943034,NASDAQ,USD,USA,LIFE SCIENCES,MEASURING & CONTROLLING DEVICES NEC,400 SPRUCE TREE CENTRE 1600 UNIVERSITY AVE ST PAUL MN US,December,2021-09-30,34274800,2055000,11.88,None,3.837,0.12,0.0766,0.537,2.422,0.222,0.147,0.0564,0.145,12916000,10388000,0.537,-0.083,-0.127,None,11.88,-,2.654,1.743,2.133,9.77,1.073,11.02,3.863,6.66,6.77,5372200,2021-11-29,2021-11-19
AAU,Common Stock,Almaden Minerals Ltd,Almaden Minerals Ltd. an exploration-stage company is engaged in the acquisition exploration and development of mineral properties in Canada and Mexico. The company is headquartered in Vancouver Canada.,1015647,NYSE MKT,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,SUITE 210 ? 1333 JOHNSTON STREET VANCOUVER BC CA,December,2021-09-30,39879900,None,None,0,0.598,None,0,-0.026,0,0,0,-0.042,-0.055,0,0,-0.026,0,0,1.01,-,-,-,0.646,-,-,1.192,1.2,0.27,0.337,0.434,137221000,None,None
AAWW,Common Stock,Atlas Air Worldwide Holdings Inc,Atlas Air Worldwide Holdings Inc. provides outsourced aircraft and aviation operating services. The company is headquartered in Purchase New York.,1135185,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,AIR TRANSPORTATION NONSCHEDULED,2000 WESTCHESTER AVENUE PURCHASE NY US,December,2021-09-30,2561747000,944596000,5.22,1.1,90.41,None,0,16.92,133.42,0.132,0.169,0.0664,0.216,3800307000,1092115000,16.92,0.406,0.255,105.57,5.22,4.376,0.674,0.965,1.152,3.937,1.122,97.13,50.75,88.69,76.16,29028300,None,None
AB,Common Stock,AllianceBernstein Holding L.P,AllianceBernstein Holding LP is a publicly owned investment manager. The company is headquartered in New York New York.,825313,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,1345 AVE OF THE AMERICAS NEW YORK NY US,December,2021-09-30,4801424000,None,13.77,1.746,15.69,3.58,0.0736,3.53,3.827,0.922,1,0.157,0.232,383650000,308404000,3.53,0.283,0.298,56.2,13.77,13.51,12.52,3.246,-,-,1.428,57.3,31.76,51.9,48.21,98754000,2021-11-24,2021-11-05
ABB,Common Stock,ABB Ltd,ABB Ltd manufactures and sells electrification industrial automation and robotics and motion products for utility industrial and transportation and infrastructure customers globally. The company is headquartered in Zurich Switzerland.,1091587,NYSE,USD,USA,MANUFACTURING,SWITCHGEAR & SWITCHBOARD APPARATUS,PO BOX 8131 CH 8050 ZURICH SWITZERLAND CH,December,2021-09-30,75933295000,4365000000,42.62,0.307,7.0,0.904,0.0229,0.894,14.12,0.064,0.123,0.0523,0.138,28559999000,8011000000,0.894,-0.848,0.068,40.29,42.62,22.27,2.659,5.25,2.659,18.46,1.02,39.11,27.82,36.04,34.94,1993000000,2021-05-14,2021-03-29
